"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100uF 35V","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C2","1","100nF 50V","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"D1","1","POWER LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D2","1","STATUS LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"F1","1","2A Fuse","","","","Fuse:Fuseholder_Blade_Mini_Keystone_3568",""
"J1","1","Stepper Motor","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J3","1","Load Cell","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J4","1","24V POWER INPUT","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J5","1","SSD1306","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J6","1","INPUT","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"J7","1","E_STOP","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J8","1","LIMIT_TOP","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J9","1","LIMIT_BOTTOM","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J10","1","POWER SWITCH","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R4","2","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2,R3","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"U1","1","U1 ESP32_DEVKIT_30P","","","","MACK10:ESP32_DEVKIT_30PIN",""
"U2","1","HX711","","","","MACK10:HX711_MODULE",""
"U3","1","TMC2208","","","","MACK10:TMC2208_STEPSTICK",""
"U4","1","LM2596 Buck Converter","","","","MACK10:LM2596_BUCK_CONVERTER",""
